MOVIES,YEAR,GENRE,RATING,ONE-LINE,VOTES,RunTime,Gross,GENRE_LIST,Director,Actors
Sentinelle,2021,"Action, Crime, Drama",4.7,"
Transferred home after a traumatizing combat mission, a trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",6853,80,,"['Action', 'Crime', 'Drama']",Julien Leclercq,"Olga Kurylenko, 
Marilyn Lima, 
Michel Nabokoff, 
Martin Swabey"
Little Evil,2017,"Comedy, Horror",5.7,"
Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.",19827,94,,"['Comedy', 'Horror']",Eli Craig,"Evangeline Lilly, 
Owen Atlas, 
Adam Scott, 
Marcus Terrell Smith"
Freud,2020,"Crime, History, Thriller",6.5,"
Young Czech-Austrian psychoanalyst, Sigmund Freud, investigates a murder conspiracy in 1880's Vienna.",10568,55,,"['Crime', 'History', 'Thriller']",,"Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler"
Toradora!,2008,"Animation, Comedy, Drama",8.0,"
Ryuji Takasu lives in a falling down house with his mother, and although being a nice guy is cursed with the evil look of his father causing people to avoid him. Taiga Aisaka is a tiny,self...                See full summary »
",12030,24,,"['Animation', 'Comedy', 'Drama']",,"Rie Kugimiya, 
Junji Majima, 
Yui Horie, 
Hirofumi Nojima"
Goblin Slayer,2018,"Animation, Action, Adventure",7.5,"
In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense.",5711,30,,"['Animation', 'Action', 'Adventure']",,"Yuichiro Umehara, 
Yui Ogura, 
Hayden Daviau, 
Brad Hawkins"
Wine Country,2019,"Adventure, Comedy, Drama",5.5,"
During a vacation to Napa Valley, a group of long time friends reunite and revisit past choices in this hilarious and heartfelt comedy from director Amy Poehler.",19850,103,,"['Adventure', 'Comedy', 'Drama']",Amy Poehler,"Amy Poehler, 
Rachel Dratch, 
Ana Gasteyer, 
Maya Rudolph"
Sigeuneol,2016,"Crime, Drama, Fantasy",8.6,"
Detectives from the present and a detective from the past communicate via walkie-talkie to solve a long-time unsolved case.",5077,80,,"['Crime', 'Drama', 'Fantasy']",,"Lee Jehoon, 
Kim Hye-su, 
Cho Jin-woong, 
Hyun-Sung Jang"
Shutter,,"Horror, Mystery, Thriller",7.1,"
A young photographer and his girlfriend discover mysterious shadows in their photographs after a tragic accident. They soon learn that you can not escape your past.",42532,97,,"['Horror', 'Mystery', 'Thriller']",,"Directors:
Banjong Pisanthanakun, 
Parkpoom Wongpoom
| 
    
Ananda Everingham, 
Natthaweeranuch Thongmee, 
Achita Sikamana, 
Unnop Chanpaibool"
Pooreun Badaui Junsul,2016,"Comedy, Fantasy, Romance",8.1,"
The television series centers on the love story of Heo Joon Jae, who is a clever con-man, and a mermaid named Shim Chung, who falls in love with him.",6582,60,,"['Comedy', 'Fantasy', 'Romance']",,"Jun Ji-hyun, 
Lee Min-Ho, 
Lee Hee-joon, 
Shin Won Ho"
Monarca,2019,Drama,7.9,"
After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",2801,43,,['Drama'],,"Irene Azuela, 
Juan Manuel Bernal, 
Osvaldo Benavides, 
Regina Pavón"
Marianne,2019,"Drama, Horror, Mystery",7.5,"
When a famous horror writer goes back to her hometown, she finds out that the evil spirit that plagues her dreams is also there in real life.",12784,50,,"['Drama', 'Horror', 'Mystery']",,"Victoire Du Bois, 
Lucie Boujenah, 
Tiphaine Daviot, 
Ralph Amoussou"
Madame Claude,2021,"Biography, Crime, Drama",5.4,"
Paris, in the late 1960s. Madame Claude is at the head of a flourishing business dedicated to prostitution that gives her power over both the French political and criminal worlds. But the end of her empire is closer than she thinks.",2642,112,,"['Biography', 'Crime', 'Drama']",Sylvie Verheyde,"Karole Rocher, 
Garance Marillier, 
Roschdy Zem, 
Pierre Deladonchamps"
Gojira shingyura pointo,2021,"Animation, Action, Adventure",6.6,"
Brought together by a mysterious song, a grad student and an engineer lead the fight against an unimaginable force that may spell doom for the world.",1054,24,,"['Animation', 'Action', 'Adventure']",,"Cristina Valenzuela, 
Yume Miyamoto, 
Shoya Ishige, 
Yôhei Azakami"
Creep 2,2017,"Crime, Drama, Horror",6.5,"
A video artist looking for work drives to a remote house in the forest to meet a man claiming to be a serial killer. But after agreeing to spend the day with him, she soon realizes that she made a deadly mistake.",21809,78,,"['Crime', 'Drama', 'Horror']",Patrick Brice,"Karan Soni, 
Mark Duplass, 
Desiree Akhavan, 
Kyle Field"
Bap Jal Sajuneun Yeppeun Nuna,2018,"Drama, Romance",8.1,"
Yoon Jin Ah is a woman in her mid-30s who doesn't know yet what it's like to date a man. She's been dumped by a man many times because of her clumsy, reckless and foolish behavior. And ...                See full summary »
",4330,75,,"['Drama', 'Romance']",,"Son Ye-jin, 
Jung Hae-In, 
Joo Min-Kyung, 
Kim Chang-wan"
Omoide no Mânî,2014,"Animation, Drama, Family",7.7,"
Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.",35523,103,0.77,"['Animation', 'Drama', 'Family']",,"Directors:
James Simone, 
Hiromasa Yonebayashi
| 
    
Sara Takatsuki, 
Kasumi Arimura, 
Nanako Matsushima, 
Susumu Terajima"
The One I Love,2014,"Comedy, Drama, Romance",7.1,"
A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.",37373,91,0.51,"['Comedy', 'Drama', 'Romance']",Charlie McDowell,"Mark Duplass, 
Elisabeth Moss, 
Ted Danson, 
Kiana Cason"
Running with the Devil,2019,"Crime, Drama, Thriller",5.4,"
The CEO of an international conglomerate sends two of his most regarded executives to investigate why shipments of cocaine are being hijacked and over cut somewhere on the supply chain.",7026,100,,"['Crime', 'Drama', 'Thriller']",Jason Cabell,"Nicolas Cage, 
Laurence Fishburne, 
Leslie Bibb, 
Cole Hauser"
The Circle,2020,"Game-Show, Reality-TV",7.3,"
Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle"".",5276,48,,"['Game-Show', 'Reality-TV']",,"Michelle Buteau, 
Jack Atkins, 
Deleesa Carrasquillo, 
Courtney Revolution"
Jeepers Creepers 3,2017,Horror,3.9,"
Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.",19260,100,2.24,['Horror'],Victor Salva,"Stan Shaw, 
Gabrielle Haugh, 
Brandon Smith, 
Meg Foster"
Avlu,2018,"Crime, Drama",7.2,"
A woman entering a prison trying to establish her own justice. These women who are forced to give up their freedom are struggling in Karakuyu against their own order and their own laws.",1377,120,,"['Crime', 'Drama']",,"Demet Evgar, 
Ceren Moray, 
Nursel Köse, 
Çagdas Onur Öztürk"
Love & Anarchy,2020,"Comedy, Drama, Romance",7.4,"
Sofie, a career driven consultant and married mother of two. When Sofie gets an assignment to modernize an old publishing house she meets young IT tech Max, and an unexpected flirting game begins.",6788,30,,"['Comedy', 'Drama', 'Romance']",,"Ida Engvoll, 
Björn Mosten, 
Carla Sehn, 
Reine Brynolfsson"
Free Rein,2017,"Action, Adventure, Comedy",7.3,"
After befriending a mysterious horse during a summer in the English countryside, 15-year-old Zoe finds the strength to deal with issues she faces.",1798,26,,"['Action', 'Adventure', 'Comedy']",,"Freddy Carter, 
Jaylen Barron, 
Manpreet Bambra, 
Celine Buckens"
Tiempos de guerra,2017,"Drama, Fantasy, Horror",7.6,"
In the Spanish city of Melilla, during the Rif War of the 1920s, Spanish volunteer nurses of Red Cross with no experience adapt to their new lives.",2724,70,,"['Drama', 'Fantasy', 'Horror']",,"Amaia Salamanca, 
Álex García, 
Verónica Sánchez, 
Álex Gadea"
Geronimo: An American Legend,1993,"Drama, History, Western",6.5,"
The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.",10096,115,18.64,"['Drama', 'History', 'Western']",Walter Hill,"Jason Patric, 
Gene Hackman, 
Robert Duvall, 
Wes Studi"
Shimmer Lake,2017,"Crime, Drama, Mystery",6.3,"
An inventive crime thriller told backwards -- reversing day by day through a week -- following a local sheriff's quest to unlock the mystery of three small town criminals and a bank heist gone wrong.",12857,86,,"['Crime', 'Drama', 'Mystery']",Oren Uziel,"Benjamin Walker, 
Rainn Wilson, 
Stephanie Sigman, 
John Michael Higgins"
È stata la mano di Dio,2021,Drama,7.1,"
Plot unknown. Set in Naples and said to be a very personal film.",,130,,['Drama'],Paolo Sorrentino,"Filippo Scotti, 
Toni Servillo, 
Teresa Saponangelo, 
Marlon Joubert"
Wounds,2019,"Drama, Horror, Mystery",4.0,"
Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.",17232,95,,"['Drama', 'Horror', 'Mystery']",Babak Anvari,"Armie Hammer, 
Zazie Beetz, 
Karl Glusman, 
Christin Rankins"
The Immigrant,2013,"Drama, Romance",6.6,"
1921. An innocent immigrant woman is tricked into a life of burlesque and vaudeville until a dazzling magician tries to save her and reunite her with her sister who is being held in the confines of Ellis Island.",30649,120,2.01,"['Drama', 'Romance']",James Gray,"Marion Cotillard, 
Joaquin Phoenix, 
Jeremy Renner, 
Dagmara Dominczyk"
Wake Up,,"Action, Crime, Thriller",5.0,"
A man wakes in a hospital bed with no recollection of who he is, and learns that he's wanted by the police for committing a series of murders.",2995,92,,"['Action', 'Crime', 'Thriller']",Aleksandr Chernyaev,"Jonathan Rhys Meyers, 
Francesca Eastwood, 
William Forsythe, 
Malik Yoba"
The Liberator,2020,"Animation, Action, Drama",7.6,"
The true story of one of the bloodiest battles of World War II.",5219,60,,"['Animation', 'Action', 'Drama']",,"Bradley James, 
Martin Sensmeier, 
Jose Miguel Vasquez, 
Billy Breed"
The Worst Witch,2017,"Family, Fantasy",7.3,"
Mildred lives an ordinary until the day that Maud Spellbody crashes her broomstick into their balcony. Maud then introduces Mildred to Cackle's Academy - a school for young witches set high on a mountaintop.",2087,30,,"['Family', 'Fantasy']",,"Raquel Cassidy, 
Jenny Richardson, 
Clare Higgins, 
Dagny Rollins"
Geunyeoui Sasaenghwal,2019,"Comedy, Romance",7.7,"
A romantic comedy about a talented gallery curator named Sung Duk Mi, who is an idol fan-girl underneath her professional veneer. Meanwhile, her boss Ryan becomes a passionate fan-boy of her.",2222,75,,"['Comedy', 'Romance']",,"Ahn Bo-Hyun, 
Park Jin-Joo, 
Bo-ra Kim, 
Jung Je-Won"
The Mercy,2017,"Adventure, Biography, Drama",6.0,"
The incredible story of amateur sailor Donald Crowhurst and his solo attempt to circumnavigate the globe. The struggles he confronted on the journey while his family awaited his return is one of the most enduring mysteries of recent times.",7898,112,,"['Adventure', 'Biography', 'Drama']",James Marsh,"Colin Firth, 
Eleanor Stagg, 
Rachel Weisz, 
Zara Prassinot"
Step Up All In,2014,"Drama, Music, Romance",6.0,"
All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",33247,112,14.9,"['Drama', 'Music', 'Romance']",Trish Sie,"Ryan Guzman, 
Briana Evigan, 
Adam Sevani, 
Misha Gabriel Hamilton"
The Last Summer,2019,"Comedy, Romance",5.6,"
Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.",12059,109,,"['Comedy', 'Romance']",William Bindley,"K.J. Apa, 
Maia Mitchell, 
Norman Johnson Jr., 
Jacob Latimore"
La forêt,2017,"Crime, Drama",7.2,"
Sixteen-year-old Jennifer disappears one night from her village in the Ardennes. Captain Gaspard Deker leads the investigation with local cop Virginie Musso, who knew the girl well. They are helped by Eve, a lonely and mysterious woman.",8878,313,,"['Crime', 'Drama']",,"Samuel Labarthe, 
Suzanne Clément, 
Alexia Barlier, 
Frédéric Diefenthal"
Animal Crackers,2017,"Animation, Adventure, Comedy",5.8,"
A family must use a magical box of Animal Crackers to save a run-down circus from being taken over by their evil uncle Horatio P. Huntington.",2881,105,,"['Animation', 'Adventure', 'Comedy']",,"Directors:
Tony Bancroft, 
Scott Christian Sava, 
Jaime Maestro
| 
    
Emily Blunt, 
Danny DeVito, 
John Krasinski, 
Ian McKellen"
Pacific Rim,2021,"Animation, Action, Adventure",7.1,"
After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies.",3533,24,,"['Animation', 'Action', 'Adventure']",,"Gideon Adlon, 
Calum Worthy, 
Erica Lindbeck, 
Victoria Grace"
Kipo and the Age of Wonderbeasts,2020,"Animation, Action, Adventure",8.4,"
A girl explores the possibilities in a post-apocalyptic world.",3925,24,,"['Animation', 'Action', 'Adventure']",,"Karen Fukuhara, 
Sydney Mikayla, 
Dee Bradley Baker, 
Deon Cole"
The Upshaws,2021,Comedy,6.9,"
It centers on a working-class African American family in Indiana struggling to make it work and make it right without any blueprints.",1810,60,,['Comedy'],,"Mike Epps, 
Kim Fields, 
Diamond Lyons, 
Wanda Sykes"
Kadaver,2020,"Drama, Horror, Thriller",5.1,"
In the starving aftermath of a nuclear disaster, a family of three attends a charitable event at a hotel, which takes a dark turn when people start to disappear.",8104,86,,"['Drama', 'Horror', 'Thriller']",Jarand Herdal,"Gitte Witt, 
Thomas Gullestad, 
Thorbjørn Harr, 
Maria Grazia Di Meo"
Naked,,"Comedy, Fantasy, Romance",5.4,"
Nervous about finally getting married, a guy is forced to relive the same nerve-wracking hours over and over again until he gets things right on his wedding day.",18249,96,,"['Comedy', 'Fantasy', 'Romance']",Michael Tiddes,"Marlon Wayans, 
Regina Hall, 
Dennis Haysbert, 
J.T. Jackson"
Let It Snow,2019,"Comedy, Romance",5.8,"
In a small town on Christmas Eve, a snowstorm brings together a group of young people.",18925,92,,"['Comedy', 'Romance']",Luke Snellin,"Isabela Merced, 
Shameik Moore, 
Odeya Rush, 
Liv Hewson"
Mr. Iglesias,2019,Comedy,7.1,"
A good-natured high school teacher working at his alma mater works with gifted but misfit and disinterested students.",5988,30,,['Comedy'],,"Gabriel Iglesias, 
Sherri Shepherd, 
Jacob Vargas, 
Maggie Geha"
Parfum,2018,"Drama, Thriller",7.1,"
When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her.",7762,45,,"['Drama', 'Thriller']",,"Friederike Becht, 
Natalia Belitski, 
Oskar Belton, 
Leon Lukas Blaschke"
Hilda,2018,"Animation, Adventure, Comedy",8.6,"
A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous.",8072,24,,"['Animation', 'Adventure', 'Comedy']",,"Bella Ramsey, 
Ameerah Falzon-Ojo, 
Oliver Nelson, 
Daisy Haggard"
Nayattu,2021,Thriller,8.2,"
Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much human police officers and their helplessness.",4887,124,,['Thriller'],Martin Prakkat,"Kunchacko Boban, 
Joju George, 
Nimisha Sajayan, 
Jaffer Idukki"
Aunty Donna's Big Ol' House of Fun,2020,Comedy,8.0,"
In their new sketch series, Aunty Donna's Big Ol' House of Fun take viewers along for an absurdist adventure through their everyday lives.",5312,20,,['Comedy'],,"Mark Samual Bonanno, 
Broden Kelly, 
Zachary Ruane, 
Scott Aukerman"
Marauders,2016,"Action, Crime, Thriller",5.5,"
When a bank is hit by a brutal heist, all evidence points to the owner and his high-powered clients. But as a group of FBI agents dig deeper into the case - and the deadly heists continue - it becomes clear that a larger conspiracy is at play.",21162,107,,"['Action', 'Crime', 'Thriller']",Steven C. Miller,"Bruce Willis, 
Christopher Meloni, 
Dave Bautista, 
Adrian Grenier"
The Woods,2020,"Crime, Drama, Mystery",6.5,"
In Warsaw, a prosecutor's hopes rise after a body is found and linked to his sister's disappearance 25 years earlier.",4702,306,,"['Crime', 'Drama', 'Mystery']",,"Grzegorz Damiecki, 
Agnieszka Grochowska, 
Hubert Milkowski, 
Wiktoria Filus"
The K2,2016,"Drama, Romance, Thriller",7.8,"
Kim Je Ha is former solider for hire. He is also called K2. He is hired as a bodyguard by Choi Yoo Jin. Choi Yoo Jin is the wife of Jang Se Joon, who is running for president. Meanwhile, Go...                See full summary »
",4433,60,,"['Drama', 'Romance', 'Thriller']",,"Ji Chang-Wook, 
Song Yun-ah, 
Im Yoon-ah, 
Jo Sung-ha"
Greenhouse Academy,2017,Drama,6.9,"
Almost a year after their astronaut mother's tragic death, brother and sister Alex and Hayley Woods start to attend an elite boarding school for future leaders, but they soon realize that that everything is not as it seems.",5351,25,,['Drama'],,"Ariel Mortman, 
Finn Roberts, 
Chris O'Neal, 
Dallas Hart"
I Still See You,2018,"Fantasy, Horror, Sci-Fi",5.8,"
Set ten years after an apocalyptic event that killed millions and left the world inhabited by ghosts.",9078,98,,"['Fantasy', 'Horror', 'Sci-Fi']",Scott Speer,"Bella Thorne, 
Richard Harmon, 
Dermot Mulroney, 
Amy Price-Francis"
Neko no ongaeshi,2002,"Animation, Adventure, Comedy",7.2,"
After helping a cat, a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life.",51774,75,,"['Animation', 'Adventure', 'Comedy']",Hiroyuki Morita,"Chizuru Ikewaki, 
Yoshihiko Hakamada, 
Aki Maeda, 
Takayuki Yamada"
El baile de los 41,2020,"Biography, Drama, History",6.8,"
At the end of the 19th century, Ignacio de la Torre married the daughter of the president of Mexico, Porfirio Díaz. Ignacio leads a double life: he rises in the traditional world of politics while being a member of a clandestine society.",3017,99,,"['Biography', 'Drama', 'History']",David Pablos,"Alfonso Herrera, 
Emiliano Zurita, 
Mabel Cadena, 
Fernando Becerril"
Demain tout commence,2016,"Comedy, Drama",7.4,"
A bachelor enjoys his sweet life on the French Riviera until a one-night stand tells him, he's dad to Gloria and leaves her with him. He moves to London with Gloria. Mom turns up 8 years later.",24703,118,,"['Comedy', 'Drama']",Hugo Gélin,"Omar Sy, 
Clémence Poésy, 
Antoine Bertrand, 
Ashley Walters"
Take Me,2017,"Comedy, Crime, Mystery",6.1,"
Ray is a fledgling entrepreneur who specializes in high-end simulated abductions. He jumps at the chance when a mysterious client contracts him for a weekend kidnapping with a handsome ...                See full summary »
",5088,83,0.0,"['Comedy', 'Crime', 'Mystery']",Pat Healy,"Pat Healy, 
Taylor Schilling, 
Alycia Delmore, 
Jim O'Heir"
Meteor Garden,2018,"Drama, Romance",8.1,"
An ordinary girl is admitted to the most prestigious school in the country where she encounters F4, an exclusive group comprised of the four wealthiest and handsomest boys in the school - Dao Ming Si, Hua Ze Lei, Xi Men and Mei Zuo.",3217,45,,"['Drama', 'Romance']",,"Dylan Wang, 
Shen Yue, 
Caesar Wu, 
Darren Chen"
Paranormal,2020,"Drama, Fantasy, Horror",8.5,"
Set in the 1960s, the series, packed with mystery and suspense, depicts the adventures of PARANORMAL leading character Dr. Refaat Ismail, a single hematologist who finds himself faced with a series of supernatural events.",69190,45,,"['Drama', 'Fantasy', 'Horror']",,"Ahmed Amin, 
Reem Abd El Kader, 
Samma Ibrahim, 
Razane Jammal"
IO,2019,"Adventure, Drama, Sci-Fi",4.7,"
As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",32372,96,,"['Adventure', 'Drama', 'Sci-Fi']",Jonathan Helpert,"Margaret Qualley, 
Anthony Mackie, 
Danny Huston, 
Tom Payne"
Kyle XY,2006,"Drama, Mystery, Romance",7.4,"
A family takes in a formerly institutionalized teen savant who is missing standard human behaviors such as anger, joy, and love.",28464,60,,"['Drama', 'Mystery', 'Romance']",,"Matt Dallas, 
Marguerite MacIntyre, 
Bruce Thomas, 
April Matson"
Nakitai watashi wa neko o kaburu,2020,"Animation, Adventure, Family",6.7,"
Miyo Sasaki is in love with her classmate Kento Hinode and tries repeatedly to get Kento's attention by transforming into a cat, but at some point, the boundary between herself and the cat becomes ambiguous.",7045,104,,"['Animation', 'Adventure', 'Family']",,"Directors:
Jun'ichi Satô, 
Tomotaka Shibayama
| 
    
Mirai Shida, 
Natsuki Hanae, 
Johnny Yong Bosch, 
Bob Buchholz"
Borgia,2011,"Biography, Drama, History",7.8,"
Story of the rise and the fall of the Renaissance dynasty.",6257,52,,"['Biography', 'Drama', 'History']",,"Mark Ryder, 
Isolda Dychauk, 
Diarmuid Noyes, 
John Doman"
Un long dimanche de fiançailles,2004,"Drama, Mystery, Romance",7.6,"
Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",71916,133,6.17,"['Drama', 'Mystery', 'Romance']",Jean-Pierre Jeunet,"Audrey Tautou, 
Gaspard Ulliel, 
Jodie Foster, 
Dominique Pinon"
Dangshini Jamdeun Saie,2017,"Comedy, Drama, Fantasy",8.4,"
The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true.",5066,30,,"['Comedy', 'Drama', 'Fantasy']",,"Bae Suzy, 
Lee Jong-Suk, 
Jung Hae-In, 
Lee Sang-Yeob"
Kokuriko-zaka kara,2011,"Animation, Drama, Family",7.4,"
A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.",38625,91,1.0,"['Animation', 'Drama', 'Family']",Gorô Miyazaki,"Sarah Bolger, 
Chris Noth, 
Anton Yelchin, 
Christina Hendricks"
Extremely Loud & Incredibly Close,2011,"Adventure, Drama, Mystery",6.9,"
A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.",99165,129,31.85,"['Adventure', 'Drama', 'Mystery']",Stephen Daldry,"Thomas Horn, 
Tom Hanks, 
Sandra Bullock, 
Max von Sydow"
Red Riding Hood,2011,"Fantasy, Horror, Mystery",5.5,"
Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure.",109473,100,37.66,"['Fantasy', 'Horror', 'Mystery']",Catherine Hardwicke,"Amanda Seyfried, 
Lukas Haas, 
Gary Oldman, 
Billy Burke"
Mirai nikki,2011,"Animation, Action, Drama",7.6,"
A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future.",15313,25,,"['Animation', 'Action', 'Drama']",,"Josh Grelle, 
Brina Palencia, 
Leah Clark, 
Emily Neves"
Tengen toppa gurren lagann,2007,"Animation, Action, Adventure",8.3,"
Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.",15693,24,,"['Animation', 'Action', 'Adventure']",,"Yuri Lowenthal, 
Kana Asumi, 
Steve Blum, 
Johnny Yong Bosch"
Mystery Science Theater 3000,1988,"Comedy, Sci-Fi",8.5,"
In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",23491,92,,"['Comedy', 'Sci-Fi']",,"Joel Hodgson, 
Michael J. Nelson, 
Trace Beaulieu, 
Kevin Murphy"
Suite Française,2014,"Drama, Romance, Thriller",7.0,"
During the early years of Nazi occupation of France in World War II, romance blooms between Lucile Angellier (Michelle Williams), a French villager, and Lieutenant Bruno von Falk (Matthias Schoenaerts), a German soldier.",24684,107,,"['Drama', 'Romance', 'Thriller']",Saul Dibb,"Michelle Williams, 
Kristin Scott Thomas, 
Margot Robbie, 
Eric Godon"
El dragón,2019,"Action, Adventure, Drama",7.0,"
After the murder of his parents when he was a little kid, Mexican Miguel Garza is sent away to Japan. 20 years later, he has to go back to his home country as the new heir of his family's cartel.",1611,45,,"['Action', 'Adventure', 'Drama']",,"Sebastián Rulli, 
Renata Notni, 
Manuel Balbi, 
Cassandra Sanchez Navarro"
Ajeeb Daastaans,2021,"Drama, Romance",6.7,"
Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.",4649,142,,"['Drama', 'Romance']",,"Directors:
Neeraj Ghaywan, 
Kayoze Irani, 
Shashank Khaitan, 
Raj Mehta
| 
    
Fatima Sana Shaikh, 
Jaideep Ahlawat, 
Nushrat Bharucha, 
Abhishek Banerjee"
Portlandia,2011,Comedy,7.8,"
A sketch-comedy series that parodies life in Portland, Oregon.",19065,22,,['Comedy'],,"Fred Armisen, 
Carrie Brownstein, 
Kyle MacLachlan, 
Sam Adams"
"Tiger King: Murder, Mayhem and Madness",2020,"Documentary, Biography, Crime",7.5,"
A rivalry between big cat eccentrics takes a dark turn when Joe Exotic, a controversial animal park boss, is caught in a murder-for-hire plot.",70207,358,,"['Documentary', 'Biography', 'Crime']",,"John Reinke, 
Kelci Saffery, 
John Finlay, 
Rick Kirkham"
Fatma,2021,"Crime, Drama, Thriller",7.5,"
As Fatma sets out to search for Zafer, she commits an unexpected murder and she has to keep killing in order to survive.",6618,40,,"['Crime', 'Drama', 'Thriller']",,"Burcu Biricik, 
Mehmet Yilmaz Ak, 
Sehsuvar Aktas, 
Hazal Türesan"
Vampires vs. the Bronx,2020,"Comedy, Horror",5.6,"
A group of young friends from the Bronx fight to save their neighborhood from gentrification...and vampires.",8618,85,,"['Comedy', 'Horror']",Oz Rodriguez,"Jaden Michael, 
Gerald Jones III, 
Gregory Diaz IV, 
Sarah Gadon"
Get Rich or Die Tryin',2005,"Biography, Crime, Drama",5.4,"
A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",45092,117,30.98,"['Biography', 'Crime', 'Drama']",Jim Sheridan,"50 Cent, 
Joy Bryant, 
Adewale Akinnuoye-Agbaje, 
Omar Benson Miller"
Rita,2012,"Comedy, Drama",8.1,"
Following the life of a very outspoken and rebellious woman, Rita is a school teacher who is competent in the classroom, but seems to need a teacher of her own, when it comes to her personal life.",8057,40,,"['Comedy', 'Drama']",,"Mille Dinesen, 
Lise Baastrup, 
Nikolaj Groth, 
Carsten Bjørnlund"
Hit and Run,,"Action, Adventure, Comedy",6.1,"
Former getaway driver Charles Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charles' former gang chase them on the road.",35252,100,13.75,"['Action', 'Adventure', 'Comedy']",,"Directors:
David Palmer, 
Dax Shepard
| 
    
Dax Shepard, 
Kristen Bell, 
Bradley Cooper, 
Kristin Chenoweth"
Ask 101,2020,"Comedy, Drama, Romance",7.5,"
In 1990s Turkey, a group of teenage outcasts band together to make their beloved teacher fall in love so she'll have a reason to stay in town with them.",10299,40,,"['Comedy', 'Drama', 'Romance']",,"Kubilay Aka, 
Mert Yazicioglu, 
Alina Boz, 
Selahattin Pasali"
Pagglait,2021,"Comedy, Drama",6.9,"
Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",7609,114,,"['Comedy', 'Drama']",Umesh Bist,"Sanya Malhotra, 
Sayani Gupta, 
Sheeba Chaddha, 
Ashutosh Rana"
The Girl on the Train,2021,"Crime, Drama, Mystery",4.4,"
The story follows a recent divorcee who spends her daily commute fantasizing about a seemingly perfect couple who live in a house that her train passes daily, but something shocking happens there one day.",7821,120,,"['Crime', 'Drama', 'Mystery']",Ribhu Dasgupta,"Aditi Rao Hydari, 
Kirti Kulhari, 
Parineeti Chopra, 
Hiten Patel"
Unsolved Mysteries,2020,"Documentary, Crime, Mystery",7.3,"
Immersive, character-driven stories are rooted in the experiences of ordinary people who have lived the unthinkable. Families, detectives and journalists hope viewers hold the clues to solving these mysteries.",8190,45,,"['Documentary', 'Crime', 'Mystery']",,"Pistol Black, 
Myrtle Carter, 
Jane Green, 
Teruo Konno"
